Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
214,AA5BT,442.150000,+,5.000000,Tone,186.2,186.2,023,NN,FM,5.00,S,,,,,
215,KN5X,442.275000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
216,KI4MS,442.425000,+,5.000000,Tone,100.0,100.0,023,NN,FM,5.00,S,,,,,
217,K5TCR,442.600000,+,5.000000,Tone,141.3,141.3,023,NN,FM,5.00,S,,,,,
218,AUS442,442.650000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
219,K5TRA,443.075000,+,5.000000,Tone,123.0,123.0,023,NN,FM,5.00,S,,,,,
220,AI5TX,443.625000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
221,AI5TX,443.650000,+,5.000000,Tone,100.0,100.0,023,NN,FM,5.00,S,,,,,
222,K5GJ,443.925000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
223,AI5TX,443.950000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
224,WB5PCV,444.000000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
225,W5KA,444.100000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
226,W5KA,444.200000,+,5.000000,Tone,107.2,107.2,023,NN,FM,5.00,S,,,,,
227,K5UUT,444.350000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
228,WB5PCV,444.400000,+,5.000000,Tone,103.5,103.5,023,NN,FM,5.00,S,,,,,
229,W3MRC,444.600000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
230,AA5R,444.775000,+,5.000000,Tone,110.9,110.9,023,NN,FM,5.00,S,,,,,
231,N5RVD,444.950000,+,5.000000,Tone,110.9,110.9,023,NN,FM,5.00,S,,,,,
232,K5TRA,927.125000,-,25.000000,Tone,103.5,103.5,023,NN,FM,12.50,S,,,,,
233,K5TRA,927.137500,-,25.000000,Tone,131.8,131.8,023,NN,FM,12.50,S,,,,,
234,WA6UFQ,927.162500,-,25.000000,Tone,151.4,151.4,023,NN,FM,12.50,S,,,,,
500,FRS 1,462.562500,,0.600000,,67.0,67.0,023,NN,NFM,12.50,,,,,,
501,FRS 2,462.587500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
502,FRS 3,462.612500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
503,FRS 4,462.637500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
504,FRS 5,462.662500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
505,FRS 6,462.687500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
506,FRS 7,462.712500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
507,FRS 8,467.562500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
508,FRS 9,467.587500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
509,FRS 10,467.612500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
510,FRS 11,467.637500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
511,FRS 12,467.662500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
512,FRS 13,467.687500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
513,FRS 14,467.712500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
514,GMRS 1,462.550000,,0.600000,,67.0,67.0,023,NN,FM,5.00,,,,,,
515,GMRS 2,462.575000,,0.600000,,67.0,67.0,023,NN,FM,5.00,,,,,,
516,GMRS 3,462.600000,,0.600000,,67.0,67.0,023,NN,FM,5.00,,,,,,
517,GMRS 4,462.625000,,0.600000,,67.0,67.0,023,NN,FM,5.00,,,,,,
518,GMRS 5,462.650000,,0.600000,,67.0,67.0,023,NN,FM,5.00,,,,,,
519,GMRS 6,462.675000,,0.600000,,67.0,67.0,023,NN,FM,5.00,,,,,,
520,GMRS 7,462.700000,,0.600000,,67.0,67.0,023,NN,FM,5.00,,,,,,
521,GMRS 8,462.725000,,0.600000,,67.0,67.0,023,NN,FM,5.00,,,,,,
522,GMRS 9,462.562500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
523,GMRS10,462.587500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
524,GMRS11,462.612500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
525,GMRS12,462.637500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
526,GMRS13,462.662500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
527,GMRS14,462.687500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
528,GMRS15,462.712500,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
529,MIDL23,462.575000,,0.600000,Tone,250.3,250.3,023,NN,FM,5.00,,,,,,
530,MIDL24,462.612500,,0.600000,Tone,225.7,225.7,023,NN,FM,12.50,,,,,,
531,MIDL25,462.662500,,0.600000,Tone,203.5,203.5,023,NN,FM,12.50,,,,,,
532,MIDL26,462.712500,,0.600000,Tone,179.9,179.9,023,NN,FM,12.50,,,,,,
533,MIDL27,462.550000,,0.600000,Tone,146.2,146.2,023,NN,FM,5.00,,,,,,
534,MIDL28,462.600000,,0.600000,Tone,146.2,146.2,023,NN,FM,5.00,,,,,,
535,MIDL29,462.650000,,0.600000,Tone,127.3,127.3,023,NN,FM,5.00,,,,,,
536,MIDL30,462.700000,,0.600000,Tone,118.8,118.8,023,NN,FM,5.00,,,,,,
537,MIDL31,462.587500,,0.600000,,67.0,67.0,023,NN,FM,5.00,,,,,,
538,MIDL32,462.637500,,0.600000,,67.0,67.0,023,NN,FM,5.00,,,,,,
539,MIDL33,462.687500,,0.600000,,67.0,67.0,023,NN,FM,5.00,,,,,,
540,MIDL34,467.562500,,0.600000,,67.0,67.0,023,NN,FM,5.00,,,,,,
541,MIDL35,467.612500,,0.600000,,67.0,67.0,023,NN,FM,5.00,,,,,,
542,MIDL36,467.662500,,0.600000,,67.0,67.0,023,NN,FM,5.00,,,,,,
543,MIDL37,467.712500,,0.600000,,67.0,67.0,023,NN,FM,5.00,,,,,,
544,MIDL38,462.575000,,0.600000,,67.0,67.0,023,NN,FM,5.00,,,,,,
545,MIDL39,462.625000,,0.600000,,67.0,67.0,023,NN,FM,5.00,,,,,,
546,MIDL40,462.675000,,0.600000,,67.0,67.0,023,NN,FM,5.00,,,,,,
547,MIDL41,462.725000,,0.600000,,67.0,67.0,023,NN,FM,5.00,,,,,,
548,MIDL42,462.562500,,0.600000,Tone,107.2,107.2,023,NN,FM,5.00,,,,,,
549,MIDL43,462.612500,,0.600000,Tone,97.4,97.4,023,NN,FM,5.00,,,,,,
550,MIDL44,462.662500,,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
551,MIDL45,462.712500,,0.600000,Tone,79.7,79.7,023,NN,FM,5.00,,,,,,
552,MIDL46,462.550000,,0.600000,Tone,71.9,71.9,023,NN,FM,5.00,,,,,,
553,MIDL47,462.600000,,0.600000,Tone,241.8,241.8,023,NN,FM,5.00,,,,,,
554,MIDL48,462.650000,,0.600000,Tone,218.1,218.1,023,NN,FM,5.00,,,,,,
555,MIDL49,462.700000,,0.600000,Tone,192.8,192.8,023,NN,FM,5.00,,,,,,
556,MIDL50,462.587500,,0.600000,Tone,67.0,67.0,023,NN,FM,5.00,,,,,,
557,PMR 1,446.006250,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
558,PMR 2,446.018750,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
559,PMR 3,446.031250,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
560,PMR 4,446.043750,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
561,PMR 5,446.056250,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
562,PMR 6,446.068750,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
563,PMR 7,446.081250,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
564,PMR 8,446.093750,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
565,MURS 1,151.820000,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
566,MURS 2,151.880000,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
567,MURS 3,151.940000,,0.600000,,67.0,67.0,023,NN,NFM,5.00,,,,,,
568,MURS 4,154.570000,,0.600000,,67.0,67.0,023,NN,FM,5.00,,,,,,
569,MURS 5,154.600000,,0.600000,,67.0,67.0,023,NN,FM,5.00,,,,,,
570,BUSRED,151.625000,,0.600000,,67.0,67.0,023,NN,FM,5.00,,,,,,
571,BUSPUR,151.955000,,0.600000,,67.0,67.0,023,NN,FM,5.00,,,,,,
572,MAR01A,156.050000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
573,MAR03A,156.150000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
574,MAR05A,156.250000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
575,MAR06,156.300000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
576,MAR07A,156.350000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
577,MAR08,156.400000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
578,MAR09,156.450000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
579,MAR10,156.500000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
580,MAR11,156.550000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
581,MAR12,156.600000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
582,MAR13,156.650000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
583,MAR14,156.700000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
584,MAR15,156.750000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
585,MAR16,156.800000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
586,MAR17,156.850000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
587,MAR18A,156.900000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
588,MAR19A,156.950000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
589,MAR20A,157.000000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
590,MAR21A,157.050000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
591,MAR22A,157.100000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
592,MAR23A,157.150000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
593,MAR62,156.125000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
594,MAR63A,156.175000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
595,MAR65A,156.275000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
596,MAR66A,156.325000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
597,MAR67,156.375000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
598,MAR68,156.425000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
599,MAR69,156.475000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
600,MAR70,156.575000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
601,MAR71,156.625000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
602,MAR72,156.675000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
603,MAR73,156.725000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
604,MAR74,156.775000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
605,MAR75,156.825000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
606,MAR76,156.875000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
607,MAR78A,156.925000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
608,MAR79A,156.975000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
609,MAR80A,157.025000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
610,MAR81A,157.075000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
611,MAR88A,157.425000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
612,SAREMT,155.160000,,0.600000,Tone,127.3,127.3,023,NN,FM,5.00,,,,,,
613,HAM 42,146.420000,,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
614,HAM 52,146.520000,,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
615,HAM 55,146.550000,,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
616,HAMUHF,446.000000,,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
617,HAM U3,446.030000,,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
618,WX 1,162.550000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
619,WX 2,162.400000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
620,WX 3,162.475000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
621,WX 4,162.425000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
622,WX 5,162.450000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
623,WX 6,162.500000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
624,WX 7,162.525000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
700,NGJTFC,149.837500,,0.600000,,88.5,88.5,023,NN,FM,12.50,,,,,,
701,NGTAC2,140.412500,,0.600000,,88.5,88.5,023,NN,FM,12.50,,,,,,
702,NGTAC3,141.675000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
703,NGTAC4,142.400000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
704,NGTAC5,138.400000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
705,NGTAC6,144.950000,,0.600000,,88.5,88.5,023,NN,NFM,10.00,,,,,,
706,NGTAC7,146.300000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
707,NGTAC8,139.575000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
708,NGCON1,148.825000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
709,NGCON2,149.825000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
710,NGRPTR,142.762500,,0.600000,,88.5,88.5,023,NN,FM,12.50,,,,,,
799,REDX1,47.420000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
800,REDX2,47.500000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
