STATE: Texas
Frequency,Offset,,Tone Up/Down,Location,County,Call,,Use,,,Modes
29.6400,-0.1 MHz,,110.9 / 110.9,Round Rock, St Davids Surgical Hospital,Williamson,WD5EMS,,OPEN,,,FM,,,,
145.1500,-0.6 MHz,,123.0,Moody,McLennan,W5ZDN,,OPEN,,,FM,,,,
145.1500,-0.6 MHz,,,Nassau Bay,Harris,NB5F,,OPEN,,,FM,,,,
145.1500,-0.6 MHz,,107.2,Timpson,Shelby,KK5XM,,OPEN,,,FM,,,,
145.1500,-0.6 MHz,,192.8,Wichita Falls,Wichita,WX5TWS,,OPEN,,,FM,,,,
145.1700,-0.6 MHz,,,Brownfield,Terry,W5HFT,,OPEN,,,FM,,,,
145.1700,-0.6 MHz,,88.5,Del Valle,Travis,KB5HTB,,OPEN,,,FM,,,,
145.1700,-0.6 MHz,,110.9 / 110.9,Denton, EOC,Denton,W5FKN,,OPEN,,,FM,,,,
145.1700,-0.6 MHz,,162.2 / 162.2,Gatesville,Coryell,W5GTS,,OPEN,,,FM,,,,
145.1700,-0.6 MHz,,123.0 / 123.0,Houston,Harris,KA5QDG,,OPEN,,,FM,,,,
145.1700,-0.6 MHz,,100.0 / 100.0,Karnack, Pickens Hill - Caddo Lake,Harrison,WX5FL,,OPEN,,,FM,,,,
145.1700,-0.6 MHz,,141.3,San Antonio,Bexar,W5DK,,OPEN,,,FM,,,,
145.1900,-0.6 MHz,,,Belton,Bell,WD5EMS,,OPEN,,,System Fusion,,,,
145.1900,-0.6 MHz,,88.5 / 88.5,Boerne, Sheriff’s Office,Kendall,KB5TX,,OPEN,,,FM,,,,
145.1900,-0.6 MHz,,110.9,Dallas,Dallas,KA5CTN,,OPEN,,,FM,,,,
145.1900,-0.6 MHz,,123.0,Houston, BP Building,Harris,W5BSA,,OPEN,,,FM,,,,
145.1900,-0.6 MHz,,151.4 / 151.4,Marietta, Cussetta Mtn.,Cass,WX5FL,,OPEN,,,FM,,,,
145.1900,-0.6 MHz,,CC 1,Palo Pinto,Palo Pinto,W5PPC,,OPEN,,,FM DMR,,,,
145.1900,-0.6 MHz,,103.5,Victoria,Victoria,W5DSC,,OPEN,,,FM,,,,
145.2100,-0.6 MHz,,167.9,Alvin,Brazoria,K5PLD,,OPEN,,,FM,,,,
145.2100,-0.6 MHz,,110.9 / 110.9,Carrollton,Dallas,KB5A,,OPEN,,,FM,,,,
145.2100,-0.6 MHz,,,Centerville,Leon,K3WIV,,OPEN,,,FM,,,,
145.2100,-0.6 MHz,,97.4,Jollyville,Williamson,KA9LAY,,OPEN,,,FM,,,,
145.2100,-0.6 MHz,,162.2 / CSQ,San Antonio,Bexar,K5NNN,,OPEN,,,FM,,,,
145.2100,-0.75 MHz,,136.5 / 136.5,Tyler, UT Health Tyler Hospital,Smith,W5ETX,,OPEN,,,FM,,,,
145.2300,-0.6 MHz,,146.2,Alpine,Brewster,AD5BB,,OPEN,,,FM,,,,
145.2300,-0.6 MHz,,100.0 / 100.0,Aubrey,Denton,K5RNB,,OPEN,,,FM,,,,
145.2300,-0.6 MHz,,88.5 / 88.5,Copperas Cove, Water Tank,Coryell,K5CRA,,OPEN,,,FM System Fusion,,,,
145.2300,-0.6 MHz,,151.4,Daingerfield,Morris,NG5F,,OPEN,,,FM,,,,
145.2300,-0.6 MHz,,107.2 / 107.2,Houston,Harris,KD5OQS,,OPEN,,,FM,,,,
145.2300,-0.6 MHz,,146.2,Jewett,Leon,KC5SWI,,OPEN,,,FM,,,,
145.2300,-0.6 MHz,,103.5,Kountze,Hardin,N5BTC,,OPEN,,,FM,,,,
145.2300,-0.6 MHz,,123.0,Luling,Guadalupe,W5CTX,,OPEN,,,FM,,,,
145.2300,-0.6 MHz,,114.8,McAllen,Hidalgo,N5SIM,,OPEN,,,FM,,,,
145.2300,-0.6 MHz,,203.5 / 203.5,Pipe Creek,Bandera,W5SGS,,OPEN,,,FM,,,,
145.2300,-0.6 MHz,,88.5,Shepp,Taylor,NZ5V,,OPEN,,,FM,,,,
145.2500,-0.6 MHz,,141.3,Alvin,Brazoria,KA9JLM,,OPEN,,,FM,,,,
145.2500,-0.6 MHz,,100.0 / 100.0,Atlanta,Cass,K5HCM,,OPEN,,,FM,,,,
145.2500,-0.6 MHz,,77.0 / 77.0,Blanco,Blanco,KF5KOI,,OPEN,,,FM,,,,
145.2500,-0.6 MHz,,162.2,Georgetown,Williamson,N5TT,,OPEN,,,FM,,,,
145.2500,-0.6 MHz,,100.0 / 100.0,Haslet,Tarrant,W5BYT,,OPEN,,,FM,,,,
145.2500,-0.6 MHz,,131.8 / 131.8,Henderson, Rusk County Court House,Rusk,N5RCA,,OPEN,,,System Fusion,,,,
145.2500,-0.6 MHz,,103.5 / 103.5,Independence, PHRHVFD,Washington,N5MBM,,OPEN,,,FM,,,,
